0	0	0	0	44	35	80	78	0	52	0	40	0	0	93	82	81	93	48	0
0	0	43	61	0	0	57	36	53	82	92	84	44	72	0	48	44	0	55	83
0	43	0	39	69	0	0	92	57	59	91	0	0	0	58	0	52	91	95	49
0	61	39	0	0	74	0	57	81	0	89	41	56	93	0	78	0	73	0	44
44	0	69	0	0	92	0	48	0	79	67	59	0	63	63	0	40	46	38	45
35	0	0	74	92	0	0	0	70	0	44	70	60	0	0	82	0	0	0	36
80	57	0	0	0	0	0	79	93	36	0	39	0	39	39	94	0	0	0	0
78	36	92	57	48	0	79	0	86	0	91	89	54	0	40	0	0	0	0	97
0	53	57	81	0	70	93	86	0	93	0	0	0	44	0	0	53	0	59	38
52	82	59	0	79	0	36	0	93	0	0	92	0	74	83	39	65	0	67	0
0	92	91	89	67	44	0	91	0	0	0	0	38	36	95	44	68	0	79	88
40	84	0	41	59	70	39	89	0	92	0	0	66	0	68	89	77	74	48	0
0	44	0	56	0	60	0	54	0	0	38	66	0	0	0	46	58	86	0	69
0	72	0	93	63	0	39	0	44	74	36	0	0	0	55	57	37	67	84	64
93	0	58	0	63	0	39	40	0	83	95	68	0	55	0	0	68	42	53	0
82	48	0	78	0	82	94	0	0	39	44	89	46	57	0	0	0	63	0	80
81	44	52	0	40	0	0	0	53	65	68	77	58	37	68	0	0	0	45	43
93	0	91	73	46	0	0	0	0	0	0	74	86	67	42	63	0	0	63	0
48	55	95	0	38	0	0	0	59	67	79	48	0	84	53	0	45	63	0	43
0	83	49	44	45	36	0	97	38	0	88	0	69	64	0	80	43	0	43	0
